symbol,entry_time,exit_time,entry_price,exit_price,quantity,gross_pnl,fees,net_pnl,return_pct,entry_reason,exit_reason
XRPUSDT,2025-01-13 16:00:00+00:00,2025-01-14 19:59:59.999000+00:00,2.4676332,2.6078954000000003,79.7,11.178897340000036,0.4045196294200001,10.774377710580037,5.47839409033727,reversion:trend+confirmed_rebound,take_profit
AVAXUSDT,2025-01-18 12:00:00+00:00,2025-01-19 11:59:59.999000+00:00,39.469725000000004,37.80109,5.71,-9.52790585000001,0.44121635365000006,-9.96912220365001,-4.423405065528076,reversion:trend+confirmed_rebound,stop_loss
BNBUSDT,2025-01-19 16:00:00+00:00,2025-01-19 23:59:59.999000+00:00,698.22894,681.429115,0.539,-9.05510567499997,0.7436356916450001,-9.79874136664497,-2.603656481926966,reversion:range+confirmed_rebound,stop_loss
BTCUSDT,2025-01-20 04:00:00+00:00,2025-01-20 07:59:59.999000+00:00,101942.88597,105457.92466,0.00302,10.615416843800004,0.6263504481026,9.989066395697403,3.2445990202233244,reversion:trend+confirmed_rebound,take_profit
LINKUSDT,2025-01-20 08:00:00+00:00,2025-01-20 19:59:59.999000+00:00,26.31315,24.354816500000002,4.94,-9.674167489999993,0.25029975451,-9.924467244509993,-7.634971360327435,reversion:trend+confirmed_rebound,stop_loss
SOLUSDT,2025-01-24 00:00:00+00:00,2025-01-27 03:59:59.999000+00:00,253.24656,234.512685,0.511,-9.57301012499999,0.24924497419499997,-9.82225509919499,-7.5900870065125385,reversion:trend+confirmed_rebound,stop_loss
XRPUSDT,2025-01-27 16:00:00+00:00,2025-01-28 07:59:59.999000+00:00,2.9580783,3.1363310500000003,61.7,10.998194675000025,0.37602505689500004,10.622169618105026,5.81993859493173,reversion:range+confirmed_rebound,take_profit
BTCUSDT,2025-02-02 16:00:00+00:00,2025-02-02 19:59:59.999000+00:00,99396.54343499999,97310.710305,0.00424,-8.843932471199935,0.8340387558575999,-9.677971227057535,-2.296398149129445,reversion:range+confirmed_rebound,stop_loss
BNBUSDT,2025-02-14 04:00:00+00:00,2025-02-18 07:59:59.999000+00:00,683.531595,649.964855,0.278,-9.331553720000027,0.3707120131,-9.702265733100027,-5.105870263392886,reversion:trend+confirmed_rebound,stop_loss
BTCUSDT,2025-02-19 00:00:00+00:00,2025-02-20 15:59:59.999000+00:00,95719.57587,97587.40189000001,0.00507,9.46987792140004,0.9800663772432001,8.489811544156838,1.7494008169386672,reversion:range+confirmed_rebound,take_profit
BNBUSDT,2025-03-20 04:00:00+00:00,2025-03-24 20:00:00+00:00,625.01235,635.931875,0.526,5.743670150000011,0.66325666235,5.080413487650012,1.5453423880344161,reversion:trend+confirmed_rebound,strategy_exit_next_open
XRPUSDT,2025-03-25 12:00:00+00:00,2025-03-26 19:59:59.999000+00:00,2.44592235,2.3806091000000005,137.9,-9.006697174999937,0.6655786869550001,-9.672275861954938,-2.8676209385796545,reversion:trend+confirmed_rebound,stop_loss
SOLUSDT,2025-04-16 04:00:00+00:00,2025-04-16 19:59:59.999000+00:00,126.51322499999999,133.25334,1.61,10.851585150000028,0.41822416965,10.43336098035003,5.122269576955309,reversion:trend+confirmed_rebound,take_profit
SOLUSDT,2025-04-22 04:00:00+00:00,2025-04-22 15:59:59.999000+00:00,139.41967499999998,145.057435,1.902,10.723019520000026,0.54107546322,10.181944056780026,3.839689692290572,reversion:trend+confirmed_rebound,take_profit
XRPUSDT,2025-04-24 12:00:00+00:00,2025-04-26 07:59:59.999000+00:00,2.1566778,2.2378805,132.6,10.767478019999995,0.5827184305800001,10.184759589419993,3.561410132751399,reversion:trend+confirmed_rebound,take_profit
AVAXUSDT,2025-04-28 04:00:00+00:00,2025-04-30 15:59:59.999000+00:00,21.750869999999995,20.899545,11.11,-9.45822074999995,0.47384611064999993,-9.93206686064995,-4.110067390407813,reversion:trend+confirmed_rebound,stop_loss
SOLUSDT,2025-04-30 20:00:00+00:00,2025-05-01 11:59:59.999000+00:00,145.69281,151.78407,1.787,10.88508162000001,0.5315911845600001,10.35349043544001,3.9767117677255355,reversion:range+confirmed_rebound,take_profit
XRPUSDT,2025-05-01 12:00:00+00:00,2025-05-04 15:59:59.999000+00:00,2.2387188,2.1713138,137.9,-9.295149499999992,0.60814349554,-9.903292995539992,-3.2078630241547064,reversion:trend+confirmed_rebound,stop_loss
BTCUSDT,2025-05-05 08:00:00+00:00,2025-05-06 15:59:59.999000+00:00,94809.290955,93506.313455,0.00526,-6.853661650000043,0.9905400791966,-7.8442017291966435,-1.572939834681214,reversion:trend+confirmed_rebound,stop_loss
SOLUSDT,2025-05-06 16:00:00+00:00,2025-05-07 03:59:59.999000+00:00,143.25159,147.776075,2.317,10.483231744999998,0.674311099805,9.808920645194998,2.9552602766922162,reversion:range+confirmed_rebound,take_profit
BTCUSDT,2025-05-13 08:00:00+00:00,2025-05-18 15:59:59.999000+00:00,102716.83275,105128.96922,0.00423,10.203337268099991,0.8791877423331,9.324149525766892,2.145987769497301,reversion:trend+confirmed_rebound,take_profit
SOLUSDT,2025-05-18 16:00:00+00:00,2025-05-18 19:59:59.999000+00:00,176.34812999999997,170.27482000000003,1.548,-9.4014838799999,0.5365723266,-9.9380562065999,-3.6404882490105996,reversion:trend+confirmed_rebound,stop_loss
ADAUSDT,2025-05-19 00:00:00+00:00,2025-05-19 07:59:59.999000+00:00,0.76007985,0.7215390500000001,246.9,-9.515723519999984,0.36581170641000005,-9.881535226409984,-5.265554520357293,reversion:range+confirmed_rebound,stop_loss
ETHUSDT,2025-05-19 08:00:00+00:00,2025-05-19 19:59:59.999000+00:00,2404.9418699999997,2544.6970149999997,0.0792,11.068607484000008,0.392011399692,10.676596084308008,5.6053540335675605,reversion:range+confirmed_rebound,take_profit
BTCUSDT,2025-05-24 12:00:00+00:00,2025-05-25 11:59:59.999000+00:00,109263.174285,106786.949815,0.00363,-8.988694826100003,0.784261950483,-9.772956776583003,-2.4640274380803935,reversion:trend+confirmed_rebound,stop_loss
BTCUSDT,2025-05-26 00:00:00+00:00,2025-05-28 23:59:59.999000+00:00,109058.7021,106881.30261500001,0.00403,-8.774919924549948,0.8702382190014502,-9.645158143551397,-2.194542428645854,reversion:trend+confirmed_rebound,stop_loss
BNBUSDT,2025-06-13 08:00:00+00:00,2025-06-13 16:00:00+00:00,655.337505,653.163255,0.748,-1.6263389999999367,0.9787585684800001,-2.605097568479937,-0.5314438336624601,reversion:range+confirmed_rebound,strategy_exit_next_open
