symbol,entry_time,exit_time,entry_price,exit_price,quantity,gross_pnl,fees,net_pnl,return_pct,entry_reason,exit_reason
XRPUSDT,2025-01-13 16:00:00+00:00,2025-01-14 19:59:59.999000+00:00,2.4676332,2.6078954000000003,79.7,11.178897340000036,0.4045196294200001,10.774377710580037,5.47839409033727,reversion:trend+confirmed_rebound,take_profit
AVAXUSDT,2025-01-18 12:00:00+00:00,2025-01-19 11:59:59.999000+00:00,39.469725000000004,37.80109,5.71,-9.52790585000001,0.44121635365000006,-9.96912220365001,-4.423405065528076,reversion:trend+confirmed_rebound,stop_loss
BNBUSDT,2025-01-19 16:00:00+00:00,2025-01-19 23:59:59.999000+00:00,698.22894,681.429115,0.539,-9.05510567499997,0.7436356916450001,-9.79874136664497,-2.603656481926966,reversion:range+confirmed_rebound,stop_loss
BTCUSDT,2025-01-20 04:00:00+00:00,2025-01-20 07:59:59.999000+00:00,101942.88597,105457.92466,0.00302,10.615416843800004,0.6263504481026,9.989066395697403,3.2445990202233244,reversion:trend+confirmed_rebound,take_profit
LINKUSDT,2025-01-20 08:00:00+00:00,2025-01-20 19:59:59.999000+00:00,26.31315,24.354816500000002,4.94,-9.674167489999993,0.25029975451,-9.924467244509993,-7.634971360327435,reversion:trend+confirmed_rebound,stop_loss
SOLUSDT,2025-01-24 00:00:00+00:00,2025-01-27 03:59:59.999000+00:00,253.24656,234.512685,0.511,-9.57301012499999,0.24924497419499997,-9.82225509919499,-7.5900870065125385,reversion:trend+confirmed_rebound,stop_loss
XRPUSDT,2025-01-27 16:00:00+00:00,2025-01-28 07:59:59.999000+00:00,2.9580783,3.1363310500000003,61.7,10.998194675000025,0.37602505689500004,10.622169618105026,5.81993859493173,reversion:range+confirmed_rebound,take_profit
BTCUSDT,2025-02-02 16:00:00+00:00,2025-02-02 19:59:59.999000+00:00,99396.54343499999,97310.710305,0.00424,-8.843932471199935,0.8340387558575999,-9.677971227057535,-2.296398149129445,reversion:range+confirmed_rebound,stop_loss
XRPUSDT,2025-02-17 20:00:00+00:00,2025-02-18 07:59:59.999000+00:00,2.65002435,2.54502685,87.9,-9.229280249999968,0.45664500048,-9.685925250479968,-4.158171271143212,reversion:trend+confirmed_rebound,stop_loss
BNBUSDT,2025-02-18 12:00:00+00:00,2025-02-18 19:59:59.999000+00:00,655.78773,634.932375,0.432,-9.009513360000014,0.5575910853599999,-9.567104445360014,-3.3770188266560024,reversion:trend+confirmed_rebound,stop_loss
BTCUSDT,2025-02-19 00:00:00+00:00,2025-02-20 15:59:59.999000+00:00,95719.57587,97587.40189000001,0.00503,9.395164880600039,0.9723340981327999,8.422830782467239,1.7494008169386677,reversion:range+confirmed_rebound,take_profit
SOLUSDT,2025-04-22 04:00:00+00:00,2025-04-22 15:59:59.999000+00:00,139.41967499999998,145.057435,1.872,10.553886720000028,0.5325411499199999,10.021345570080028,3.8396896922905723,reversion:trend+confirmed_rebound,take_profit
XRPUSDT,2025-04-24 12:00:00+00:00,2025-04-26 07:59:59.999000+00:00,2.1566778,2.2378805,130.5,10.596952349999995,0.5734898581500001,10.023462491849996,3.561410132751399,reversion:trend+confirmed_rebound,take_profit
AVAXUSDT,2025-04-28 04:00:00+00:00,2025-04-30 15:59:59.999000+00:00,21.750869999999995,20.899545,10.94,-9.313495499999952,0.46659554009999993,-9.780091040099952,-4.110067390407813,reversion:trend+confirmed_rebound,stop_loss
SOLUSDT,2025-04-30 20:00:00+00:00,2025-05-01 11:59:59.999000+00:00,145.69281,151.78407,1.759,10.71452634000001,0.52326183192,10.19126450808001,3.9767117677255355,reversion:range+confirmed_rebound,take_profit
AVAXUSDT,2025-05-01 20:00:00+00:00,2025-05-02 19:59:59.999000+00:00,21.780884999999998,20.969510000000003,11.44,-9.282129999999938,0.4890645188,-9.771194518799938,-3.9214448586455264,reversion:trend+confirmed_rebound,stop_loss
BTCUSDT,2025-05-05 08:00:00+00:00,2025-05-06 15:59:59.999000+00:00,94809.290955,93506.313455,0.00517,-6.736393675000042,0.9735916747997,-7.709985349799742,-1.5729398346812136,reversion:trend+confirmed_rebound,stop_loss
SOLUSDT,2025-05-06 16:00:00+00:00,2025-05-07 03:59:59.999000+00:00,143.25159,147.776075,2.281,10.320350284999996,0.663834103865,9.656516181134997,2.955260276692216,reversion:range+confirmed_rebound,take_profit
BTCUSDT,2025-05-13 08:00:00+00:00,2025-05-18 15:59:59.999000+00:00,102716.83275,105128.96922,0.00416,10.034487715199989,0.8646385361951999,9.169849179004789,2.1459877694973,reversion:trend+confirmed_rebound,take_profit
ADAUSDT,2025-05-19 00:00:00+00:00,2025-05-19 07:59:59.999000+00:00,0.76007985,0.7215390500000001,245.4,-9.457912319999982,0.36358927806,-9.821501598059982,-5.265554520357292,reversion:range+confirmed_rebound,stop_loss
ETHUSDT,2025-05-19 08:00:00+00:00,2025-05-19 19:59:59.999000+00:00,2404.9418699999997,2544.6970149999997,0.0788,11.012705426000005,0.3900315441379999,10.622673881862006,5.60535403356756,reversion:range+confirmed_rebound,take_profit
ETHUSDT,2025-07-15 08:00:00+00:00,2025-07-15 19:59:59.999000+00:00,2978.98875,3077.750355,0.1074,10.606996377000016,0.6504937798770001,9.956502597123016,3.111957569326173,reversion:trend+confirmed_rebound,take_profit
LINKUSDT,2025-07-16 00:00:00+00:00,2025-07-16 12:00:00+00:00,16.118055,16.3918,14.03,3.8406423500000235,0.45611326565,3.3845290843500235,1.4966765220741691,reversion:trend+confirmed_rebound,strategy_exit_next_open
ETHUSDT,2025-07-22 12:00:00+00:00,2025-07-23 15:59:59.999000+00:00,3707.15265,3581.1185450000003,0.0744,-9.376937411999979,0.5422473769080001,-9.91918478890798,-3.5963551755819863,reversion:trend+confirmed_rebound,stop_loss
ADAUSDT,2025-07-24 00:00:00+00:00,2025-07-24 07:59:59.999000+00:00,0.8164079999999999,0.7702147,206.6,-9.543535779999976,0.32779624982,-9.871332029819976,-5.852456455595719,reversion:trend+confirmed_rebound,stop_loss
XRPUSDT,2025-07-24 12:00:00+00:00,2025-07-25 16:00:00+00:00,3.1699842,3.0359812500000003,54.1,-7.249559594999986,0.335742730845,-7.585302325844986,-4.423016223550885,reversion:trend+confirmed_rebound,strategy_exit_next_open
